term,description
Cercle harmoniqtie (фр. сэркль армоник),квинтовый круг
"Cesura (ит. чезура), Césure (фр. сэзюр)",цезура
Cetera (ит. чэтэра),систр (средне-вековый струнный щипковый инструмент)
Cha cha cha (испан. ча ча ча),танец
Chaconne (фр. шакон),"чакона: 1) старин, танец; 2) инструментальная пьеса, сост. из ряда вариаций"
Chalne de trilles (фр. шэн дэ трий),цепь трелей
Chaleur (фр. шалёр),"теплота, жар (увлечение)"
Chaleureusement (шалёрéзман),"с жаром, горячо"
Chaieureux (шалёрé),"горячий, пылкий"
Chaiumeau (фр. шалюмб),1) свирель; 2) нижний регистр кларнета
Chamber (англ. чэймбэ),камерный
Chamber concert (чэймбэ консэт),камерный концерт
Chamber music (чэймбер мьюзик),камерная музыка
Change (англ. чэндж),"перемена, изменение, сменить [инструмент]; piccolo change to 3rd flute [пикколо чэндж ту тёед флют) - малую флейту сменить на 3- ю флейту"
Changement de ton (фр. шанжман дэ тон),смена тональности
Changer (фр. шанжэ),"менять, изменять, заменять"
Changer le jeu (фр. шанжэ лё же),перемена регистров [в органе]
Changing note (англ. чэнджинг ноут),вспомогательная нота
Chanson (фр. шансон),песня
Chanson a boire (фр. шансон а буар),застольная песня
Chanson a parties (фр. шансон а парти),вокальное произведение для нескольких голосов
Chanson balladee (фр. шансон балядэ),танцевальная франц. песня
Chansonette (шансонэт),песенка
Chansonnier (фр. шансонье),"французский эстрад, певец, нередко и автор песен"
Chant (фр. шан),"1) пение, песня, напев; 2) вокольная, а иногда инструментальная пьеса"
Chantant (шантан),певучий
Chante (шантэ),певуче
Chanter (шантэ),"петь, Chantonner (шантонэ) - напевать"
Chant donne (фр. шан донэ),заданная мелодия
Chant (англ. чант),церк. пение
Chanterelle (фр. шантрэль),самая высокая по строю струна у смычковых и щипковых инструментов с грифом; буквально певучая
Chanteur (фр. шантэр),певец
Chanteuse (шантэз),певица
"Chantey, Chanty (англ. чанти)","хоровая матросская песня; то же, что shanty"
Chant farci (фр. шан фарси),"григорианские напевы, смеш. с напевами не культ, происхождения"
Chant liturgique (фр. шан литюржик),церк. пение
Chant populaire (фр. шан попюлёр),"нар. пение, песня"
Chantre (фр. шантр),церк. певчий
Chant sur le livre (фр. шан сюр лё ливр),импровизированный контрапункт (16 в.)
"Chapel (англ. чапэл), Chapelle (фр. шапэль)",капелла
Chaque (фр. шак),"каждый, всякий"
Chaque mesure (шак мэзюр),каждый такт
Charakterstück (нем. карактэрштюк),характеристическая пьеса
Charleston (англ. чаальстэн),чарльстон - афроамер. танец
Charleston Becken (англ.,нем. чаальстэн бэккэн) - педальные тарелки
Charme (фр. шарм),очарование; avec charme (авэк шарм) – чарующе
Charme (шармэ),зачарованно [Скрябин. «Прометей»]
"Chasse (фр, шас)","жанр вок. музыки 14- 16 вв. (2- , 3- голос. канон); буквально охота"
Che (ит. кэ),"который, которая, что, только, кроме"
Chef d'attaque (фр. шэф д'атак),концертмейстер орк. (1- й скрипач)
Chef de choeur (фр. шеф дэ кэр),дирижер хора
Chef d'oeuvre (фр. шэдэвр),шедевр
Chef d'orchestre (фр. шэф д'оркёстр),дирижер
Chevalet (фр. шэвалё),подставка (у смычковых инструментов)
Cheville (фр. шэвий),колок
Cheviller (шэвийё),колковый ящик (у смычковых инструментов)
Chevrotement (фр. шэвротман),дрожание голоса
Chiaro (ит. кьяро),"светло, ясно, чисто"
Chiave (ит. кьявэ),1) ключ; 2) клапан (у духовых инструментов)
Chiave di basso (кьявэ ди бассо),басовый ключ
Chiave di violino (кьявэ ди виолино),скрипичный ключ
Chiavette (ит. кьявэттэ),"«ключики», указание для транспозиции (15-16 вв.)"
Chiesa (ит. кьёза),"церковь; aria, sonata da chiesa (ария, соната да кьёза) - церковная ария, соната"
Chiffrage (фр. шифраж),цифровка
Chimes (англ. чаймз),"колокола, колокольчики"
Chitarra (ит. китарра),"1) китарра, кифарра - древне-греческий струннный щипковый инструмент; 2) гитара"
Chitarrone (ит. китарронэ),разновидность басовой лютни
Chiterna (ит. китэрна),квинтерна (один из видов лютни)
Chiuso (ит. кьюзо),закрытый звук (прием игры на валторне)
"Chocalho (португ. шукалью), Chocolo (шуколу)",чокало (ударный инструмент латино-амер. происхождения)
"Choeur (фр. кэр), Chor (нем. кор)",хор
Choir (англ. куайэ),"1) хор (преимущ. церковный), петь хором; 2) побочная клавиатура органа"
Choir,master (англ. куайэ-мастэ) - хормейстер
"Choisi, choisis (фр. шуази)","избранный, избранные"
"Choral (нем. кораль, англ. корал)",хорал
Choralgesang (нем. коральгезанг),григорианское пение
Choralnote (нем. коральнотэ),нота хоральной григорианской нотации
Chord (англ. коод),аккорд
Chorda (лат. хорда),струна
Chordirektor (нем. кордиректор),"пианист, разучивающий хоровые партии в оперном театре"
Chord of the fourth and sixth (англ. коод ов ди фоотс энд сикст),кварт- секстаккорд
Chord of the sixth (англ. коод ов ди сикст),секстаккорд
"Chorégraphie (фр. кореграфи), Choreographie (нем. кореогрэфи), Choreography (англ. кориогрэфи)",хореография
"Chorist (нем. корист), Chorsänger (корзэнгэр), Chorister (англ. користэ)",хорист
Chormeister (нем. кормайстэр),хормейстер
Choro (португ. шору),шоро; 1) инструментальные ансамбли в Бразилии; 2) пьесы для подобных ансамблей; 3) жанр циклических инструментальных и вокально-инструментальных произведений в Бразилии
Chorton (нем. кортон),"камертон; то же, что Kammerton"
Chorus (англ. корэс),1) хор; 2) произведение для хора; 3) в джазе - гармоническая основа импровизации
Chroma (греч. хрома),повыш. или пониж. звука на полтона без изменения ступени; буквально краска
"Chromatic (англ. крэмэтик), Chromatique (фр. кроматик), Chromatisch (нем. кроматиш)",хроматический
"Chromaticism (англ. крэмэтисизм), Chromatism (крэмэтизм), Chrofnatik (нем. кроматик), Chromatisme (фр. кроматизм)",хроматизм
Chromatic sign (англ. крэмэтик сайн),знаки в ключе
"Chrotta (лат. хротта), crott (староирл. кротт), crowd (англ. крауд), crwth (уэльск. крут)","кротта - смычковый инструмент начала средних веков в Ирландии, Уэльсе"
Church cadence (англ. чээч кэйдэнс),плагальный каданс
Chute (фр. шют),1) особый вид старинного украшения; 2) предъем; 3) арпеджио
Ciaccona (ит. чаккона),"чакона: 1) старинный танец; 2) инструментальная пьеса, состоящий из ряда вариаций"
Ciaramella (ит. чарамэлла),волынка
Ciclo delle quinte (ит. чикло дэлле куйнтэ),квинтовый круг
Cilindro rotative (ит. чилиндро ротативо),вращательный вентиль у медных духовых инструментов
Cirnbali (ит. чимбали),тарелки
"Cimbali antiche (ит. чимбали антикэ), Cimballini (чимбаллини)",античные тарелочки
Cimbasso (ит. чимбассо),медный духовой инструмент
Cinelli (ит. чинэлли),кит. тарелки
Cinglant (фр. сэнглян),"резко, хлестко"
Circolomezzo (ит. чирколомэдзо),украшения в пении
Circulatio (лат. циркуляцио),"круговое движение мелодии в музыке 17- 18 вв., буквально окружение"
"Cister (нем. цистер), Cistre (фр. систр), Cittern (англ. ситэн)",систр (средневековый струнный щипковый инструмент)
"Civettando (ит. чивэттандо), Con civetteria (кон чивэттэриа)",кокетливо
Clair (фр. клэр),"светло, чисто, прозрачно"
Clairon (фр. клерóн),1) сигнальный рожок; 2) один из регистров органа
Clairon metallique (фр. клэрон мэталик),металлический кларнет (применялся в военном оркестре)
Clameur (фр. клямэр),"вопль, крик"
Claquebois (фр. клякбуа),ксилофон
"Clarinet (англ. клэринэт), Clarinette (фр. кларинэт)",кларнет
Clarinet alto (кларинэт альтó),альтовый кларнет
Clarinet basse (кларинэт бас),басовый кларнет
Clarinet сontrebasse (кларинэт контрбас),контрабасовый кларнет
Clarinet d'amour (кларинэт д'амур),кларнет д'амур
Clarinetto (ит. кларинэтто),кларнет
Clarinetto alto (кларинэтто альто),альтовый кларнет
Clarinetto basso (кларинэтто бассо),басовый кларнет
Clarinetto Contrabasso (кларинэтто контрабассо),контрабасовый к
Clarinetto d'amore (кларинэтто д'аморэ),кларнет д'амур
Clarinetto piccolo (кларинэтто пикколо),малый кларнет
Clarino (ит. кларино),кларино: 1) натуральная труба; 2) средний регистр кларнета; 3) один из регистров органа
Clarion (англ. клэриэн),1) сигнальный рожок; 2) один из регистров органа
Clarone (ит. кларóнэ),бассетгорн
Clarte (фр. кляртэ),ясность
Clausula (лат. клаузула),название каданса в музыке средневековья
Clavecin (фр. клавэсэн),клавесин
Claves (исп. клавэс),клавес-палочки (ударный инструмент)
"Claviatura (лат. клавиатура), Clavier (фр. клявьё, англ. клавиэ)",клавиатура
Clavicembalo (ит. клавичэмбало),клавесин
"Clavichord (англ. клавикод), Clavicordo (ит. клавикордо)",клавикорды
Clavier a la main (фр. клявьё а ля мэн),мануал (клавиатура для рук в органе)
Clavier des bombardes (фр. клявьё дэ бомбард),побочная клавиатура органа
Clavis (лат. клавис),1) ключ; 2) клавиша; 3) клапан у духовых инструментов
"Clef (фр. кле, англ. клеф)",1) ключ; 2) клапан у духовых инструментов
"Clef de fa (фр. кле дэ фа), Clef de basse (кле дэ бас)",басовый ключ
Clef de sol (кле дэ соль),скрипичный ключ
"Cloche, cloches (фр. клёш)","колокол, колокола"
"Cloches a tubes (фр. клёш а тюб), Cloches tubulaires (клёш тюбюлэр)",трубчатые колокола
Clochette (фр. клёшэт),"колокольчик, бубенчик"
Clochettes (клёшэт),"колокольцы, бубенцы"
Clochette suisse (фр. клёшэт сюйс),альпийский колокольчик
Clog box (англ. клог бокс),джазовый ударнный инструмент
Close (англ. клоуз),"конец, завершение, каданс"
Close shake (англ. клоуз шейк),"вибрато на струн, и духовой инструмент"
Cluster (англ. кластэ),одновременное звучание ряда соседних нот; термин амер. композитора Г. Коуэлла (1930 г.)
Coda (ит. кода),1) кода (конец); 2) штиль у ноты; буквально хвост
Codetta (ит. кодэтта),"короткий мелодический оборот, переход от темы к противосложению"
Cogli (ит. кольи),"предлог Con в соединении с определённым артиклем мужского рода множественного числа: с, при"
Coi (ит. кои),"предлог Con в соединении с определённым артиклем мужского рода множественного числа: с, при"
Col (ит. коль),"предлог Con в соединении с определённым артиклем мужского рода единственного числа: с, при"
Colascione (ит. колашонэ),род лютни
Colinde (рум. колиндэ),народная святочная песнь (в Румынии)
Col' arco (ит. колль арко),[играть] смычком
Col legno (ит. коль леньо),[играть] древком смычка
Col legno gestrichen (ит.,нем. коль лёньо гештрихен) - водить древком смычка по струнам
Coll' (ит. колль),"предлог Con в соединении с определённым артиклем муж., женского рода единственного числа: с, при"
"Coll'ottava (ит, колль оттава), Con ottava (кон оттава)",играть октавами
Colla (ит. колла),"предлог Con в соединении с определённым артиклем женского рода единственного числа: с, при"
Colla destra (колла дэстра),[играть] правой рукой
Colla parte (колла партэ),вместе с партией [следовать за гл. голосом]
Colla sinistra (ит. колла синистра),[играть] левой рукой
Colla piu gran forza e prestezza  (ит. колла пиу гран форца э прэстэцца),с величайшей силой и быстротой [Лист]
Collage (фр. коляж),коллаж (вставка коротких цитат из других произведений)
Colle (ит. колле),"предлог Con в соединении с определённым артиклем женского рода множественного числа: с, при"
Colle verghe (ит. кóлле вэрге),[играть] прутьями
Collera (ит. кóллера),"гнев, злоба; Con collera (кон кóллера) - злобно, сердито"
Collо (ит. колло),"предлог Con в соединении с определённым артиклем мужского рода единственного числа: с, при"
"Colofonia (ит. колофониа), Colophane (фр. колофан), Colophony (англ. кэлóфэни)",канифоль
Color (лат. колор),"1) украшение; 2) в мензуральном нотном письме общее обозначение нот, отличающихся окраской; буквально цвет"
"Coloratura (ит. колоратура, англ. колэрэтуэрэ), Colorature (фр. колоратюр)",колоратура (украшение)
Colore (ит. колорэ),"краска, цвет; senza colore (сэнца колóрэ) - бескрасочно [Барток]"
"Col or is (фр. колёри), Colorito (ит. коло",рито) – колорит
Colour (англ. калэ),"тембр; буквально цвет, оттенок"
Col pollice (ит. коль полличэ),[играть] большим пальцем
Col pugno (ит. коль пуньо),[ударять] кулаком по клавишам фортепиано
Col tutto Parco (ит. коль тутто льарко),[играть] всем смычком
Combo (англ. комбоу),"комбо (малый джаз, состав)"
Come (ит. комэ),как
Come prima (комэ прима),как вначале
Come sopra (комэ сопра),как раньше
Come sta (комэ ста),строго как написано
"Comedie (фр. комэди), Comedy (англ, комиди)",комедия
Comedie melee d'ariettes (фр. комэди мэлё д'ариёт),"комедия с пением, комич. опера"
Comes (лат. комэс),1) ответ в фуге; 2) имитирующий голос в каноне Cominciare (ит. коминчарэ) - начинать
"Cominciamento (коминчамэнто), Cominciato (коминчато), Comincio (коминчо)","начало; например, tempo del comincio - темп, как вначале"
Comma (лат. комма),1) комма (акустич. термин) - интервал меньше 1/4 тона; 2) знак цезуры (') в вокальном и инструментальном сочинении
Comme (фр. ком),"как, как будто, словно, почти"
Comme des eclairs (фр. ком дэзэклэр),как вспышка [молнии] [Скрябин. Соната № 7]
Comme un echo de la phrase entendue precedemment  (фр. ком эн эко дэ ля фраз антандю прэсэдэман),"словно эхо фразы, звучавшей ранее [Дебюсси. «Затонувший собор»]"
Comme un murmure confus (фр. ком эн мюрмюр конфю),как неясный шелест [Скрябин. Поэма- ноктюрн]
Comme un tendre et triste regret (фр. ком эн тандр э трист рэгрэ),как нежное и печальное сожаление [Дебюсси]
Comme une buee irisee (фр. комюн бюэ иризэ),как радужная дымка [Дебюсси]
Comme une lointaine sonnerie de cors (фр. комюн луантэн сонэри дэ кор),как отдаленный звук валторн [Дебюсси]
Comme une ombre mouvante (фр. комюн омбр мувант),как движущаяся тень [Скрябин. Поэма-ноктюрн]
Comme une plainte lointaine (фр. комюн плэнт луэнтэн),словно отдаленная жалоба [Дебюсси]
Commedia (ит. коммэдиа),комедия
Commedia madrigalesca (коммэдиа мадригалёска),мадригальная комедия
Commencer (фр. комансэ),начинать
Commencement (комансман),начало
Commencer un peu au dessous du mouvement (фр. комансэ эн пэ о дэсу дю мувман),начинать несколько медленнее первоначального темпа [Дебюсси. Прелюдии]
Commencer Ientement dans un rythme nonchalamment gracieux (фр. комансэ лантман данз эн ритм ноншаляман грасьё),"начинать медленно, в небрежно грациозном ритме [Дебюсси]"
Common chord (англ. комэн коод),трезвучие
Common time (англ. комэн тайм),размер 4; буквально обычный размер
Commosso (ит. коммоссо),"взволнованно, потрясенно"
"Commune (фр. комюн), Comune (ит. комунэ)","общий, например, pausa comune (ит. пауза комунэ) - пауза для всех голосов"
"Comodo (ит. кóмодо), Comodamente (комодамэнтэ)","удобно, легко, без усилий, непринужденно, не спеша"
Compass (англ. кампэс),"диапазон [голоса, инструмента]"
Compiacevole (ит. компьячёволе),приятно
Compiacimento (компьячимэнто),"радость, удовольствие"
Comping (англ. кампин),"ритмически свободный аккомпанемент на гитаре (джаз, термин)"
Complainte (фр. комплэнт),1) жалобная песнь; 2) куплетная песнь с трагическим или легендарным сюжетом Complesso (ит. комплёссо) – ансамбль
Complete (англ. кэмплит),полный
Complete cadence (кэмплит кэйдэнс),полный каданс
"Complete works (англ. кэмплит уэкс), Complete set of works (кэмплит сэт ов уэкс)",полное собрание соч.
"Compose (англ. кэмпóуз), Composer (фр. композэ)",сочинять
"Composer (англ. кэмпоузэ), Compositeur (фр. композитэр), Compositore (ит. композиторэ)",композитор
"composition (фр. композисьóн, англ. кэмпэзишн), Composizione (ит. композициóнэ)","композиция, муз. сочинение"
Con (ит. кон),"с, при, вместе с"
Con affettazione (ит. кон аффэттациóнэ),с аффектацией
Con abbandono (кон аббандоно),"непринужденно, отдаваясь чувству"
Con acceleramento (кон аччэлерамэнто),ускоряя
Con accuratezza (кон аккуратэцца),точно
Con affetto (кон аффэтто),с чувством
Con affezione (ит. кон аффэциóнэ),"с нежностью, любовью"
"Con afflitto (кон аффлитто), Con afflizione (кон аффлиционэ)","уныло, печально"
Con agevolezza (кон аджэволéцца),"легко, непринужденно"
Con agiatezza (кон аджатэцца),"удобно, спокойно"
Con agilita (ит. кон аджилита),"бегло, легко"
Con agitazione (ит. кон аджитационэ),"возбужденно, взволнованно"
Con alcuna licenza (ит. кон алькуна личэнца),с некоторой свободой
Con allegrezza (кон аллегрэцца),"радостно, весело"
Con alterezza (ит. кон альтэрэцца),"надменно, высокомерно"
Con amabilita (кон амабилита),"любезно, ласково"
Con amarezza (кон амарэцца),с горечью
Con amore (ит. кон амбрэ),с любовью
Con angustia (кон ангустиа),в тоске
Con anima (кон анима),с чувством
Con austerita (кон аустэрита),"строго, сурово"
Con brio (ит. кон брио),"живо, весело, возбужденно"
Con bizzarria (кон бидзариа),"странно, причудливо"
Con calma (кон кальма),"тихо, спокойно"
Con calore (кон калорэ),"одушевленно, с жаром, с огнем"
Con celerita (кон чэлерита),"скоро, быстро"
Con civetteria (кон чивэттэриа),кокетливо
Con collera (кон кóллера),"злобно, сердито"
Con comodo (ит. кон кóмодо),не спеша; буквально с удобством
Con corde (кон кордэ),[звучание малого барабана] со струнами
Con delicatezza (кон дэликатэцца),нежно
Con delizia (кон дэлициа),"радостно, восхищенно, наслаждаясь"
Con desiderio (кон дэзидэрио),"пылко, страстно"
Con desiderio intenso (кон дэзидэрио интэнсо),"весьма пылко, страстно"
Con destrezza (кон дэстрэцца),"с легкостью, живостью"
Con desvario (кон дэсварио),"капризно, как в бреду"
"Con devozione (кон дэвоционэ), Con divozione (кон дивоционэ)",благоговейно
Con diligenza (кон дилиджэнца),"усердно, старательно"
Con discrezione (ит. кон дискрэциóнэ),"1) сдержанно, умеренно; 2) следуя гл. партии"
Con disinvoltura (кон дизинвольтура),"свободно, непринужденно"
Con disordine (кон дизординэ),"в смятении, замешательстве"
Con disperazione (кон диспэрационэ),"безутешно, в отчаянии"
Con dolce maniera (ит. кон дольче маньёра),"нежно, ласково"
Con dolore (кон долорэ),"с болью, тоской, печально"
Con due pedali (ит. кон дуэ пэдали),нажать обе педали (на фортепиано)
Con duolo (кон дуоло),"печально, скорбно"
Con durezza (кон дурэцца),"твердо, резко, грубо"
Con effeminatezza (кон эффэминатэцца),"мягко, женственно, изнеженно"
Con eleganza (ит. кон элеганца),"изящно, элегантно"
Con elevazione (ит. кон элевациóнэ),"гордо, надменно"
Con energia (ит. кон энерджиа),"энергично, решительно"
Con entusiasmo (ит. кон энтузиазмо),восторженно
Con espressione (кон эспрэссионэ),"выразительно, экспрессивно"
Con estro poetico (ит. кон эстро поэтико),с поэтич. вдохновением
Con facezia (кон фачэциа),"весело, шутливо"
Con fermezza (кон фэрмэцца),"крепко, твердо, уверенно"
Con fervore (кон фэрворэ),"с жаром, чувством"
Con festivita (кон фэстивита),"празднично, радостно"
Con fiacchezza (кон фьяккэцца),"слабо, устало"
Con fiducia,уверенно
Con fierezza (кон фьерэцца),"гордо, горделиво"
Con finezza (кон финэцца),утонченно
Con fiochezza (кон фьокэцца),"хрипло, сипло"
Con fluidezza (кон флюидэцца),"текуче, плавно"
Con foco (кон фоко),"с огнем, пылом"
Con forza (кон форца),сильно
Con fuoco (ит. кон фуоко),"с жаром, пламенно, страстно"
Con franchezza (кон франкэцца),"смело, свободно, уверенно"
Con freddezza (кон фрэддэцца),"холодно, равнодушно"
Con freschezza (кон фрэскэцца),свежо
Con fretta (кон фрэтта),"поспешно, торопливо"
Con fuoco (кон фуоко),"с жаром, пламенно, страстно"
Con furia (кон фуриа),"яростно, неистово"
Con garbo (кон гарбо),"вежливо, деликатно"
Con giovialita (кон джовиалита),"бодро, весело"
Con giubilо (кон джубило),"торжественно, радостно, ликующе"
Con gli (ит. кон льи),"с, со; то же"
Con grandezza (ит. кон грандэцца),величаво
Con gravita (кон гравита),значительно
"Con grazia (кон грациа), grazioso (грациозо)","грациозно, изящно"
Con gusto (кон густо),со вкусом
Con ilarita (ит. кон иларита),"радостно, весело"
Con impazienza (кон импациэнца),нетерпеливо
Con impeto (кон импэто),"стремительно, пылко, порывисто"
Con incanto (кон инканто),чарующе
Con indifferenza (кон индиффэрэнца),"индиферентно, равнодушно, безразлично"
Con indolenza (ит. кон индолёнца),"бесстрастно, безразлично, небрежно"
"Con intrepidezza (кон интрэпидэцца), intrepido (интрэпидо)","смело, уверенно"
Con ira (кон ира),гневно
Con lagrima (кон лагрима),"скорбный, печальный, полный слез"
Con languidezza (ит. кон лангуидэцца),"томно, как бы изнемогая"
Con larghezza (кон ларгёцца),"широко, протяжно"
Con leggerezza (кон леджэрэцца),легко
Con lenezza (кон ленэцца),"мягко, тихо, нежно"
Con lentezza (ит. кон лентэцца),медленно
"Con lestezza (кон лестэцца), lesto (лесто)","быстро, бегло, ловко"
Con liberta (ит. кон либэрта),свободно
Con licenza (кон личэнца),вольно
Con locura (кон локура),как в безумии [де Фалья. «Любовь-волшебница»]
Con luminosita (ит. кон люминозита),сияя
Con maesta (кон маэста),"величественно, величаво, торжественно"
Con magnanimita (кон маньянимита),великодушно
Con magnificenza (ит. кон маньифичэнца),"великолепно, пышно, величественно"
Con malinconia (кон малинкониа),"меланхолично, грустно, печально"
Con malizia (кон малициа),лукаво
Con mano destra (ит. кон мано дэстра),правой рукой
Con mano sinistra (ит. кон мано синистра),левой рукой
Con mestizia (кон местициа),"печально, грустно"
Con misterio (кон мистэрио),таинственно
Con moderazione (кон модэрационэ),умеренно
Con morbidezza (ит. кон морбидэцца),"мягко, нежно, болезненно"
Con moto (ит. кон мото),"1) подвижно; 2) добавленное к обозначение темпа, указывает на ускорение, например, allegro con moto - скорее, чем allegro"
Con naturalezza (кон натуралёцца),"естественно, просто, обычно"
Con nobile orgoglio (ит. кон нобиле оргольо),"благородно, гордо"
Con nobilita (кон нобилита),"благородно, с достоинством"
Con osservanza (кон оссэрванца),"точно соблюдая указан, оттенки исполнения"
Con pacatezza (кон пакатэцца),"спокойно, кротко"
Con passione (кон пассьонэ),"страстно, со страстью"
Con placidezza (кон плачидэцца),тихо
Con precisione (кон прэчизионэ),"определенно, точно"
"Con prontezza (кон пронтэцца), pronto (пронто)","проворно, живо, быстро"
Con rabbia (кон раббиа),"гневно, яростно, неистово"
Con raccoglirnento (кон раккольимэнто),сосредоточенно
Con rapidita (кон рапидита),"быстро, стремительно"
Con rattezza (кон раттэцца),"быстро, живо"
Con rigore (кон ригорэ),"строго, точно [соблюдая ритм]"
Con rimprovero (кон римпровэро),с выражением упрека
Con rinforzo (кон ринфорцо),усиливая
Con roca voce (кон рока вочэ),хриплым голосом
Con schiettezza (кон скьеттэцца),"просто, искренне"
Con scioltezza (кон шольтэцца),"непринужденно, свободно, гибко"
Con sdegno (кон здэньо),гневно
Con semplicita (кон сэмпличита),"просто, естественно"
Con sentimento (кон сэнтимэнто),с чувством
Con severita (кон сэверита),"строго, серьезно"
Con sforzo (кон сфорцо),сильно
Con sfuggevolezza (кон сфуджэволёцца),"быстро, мимолетно"
Con slancio (кон зланчо),стремительно
"Con snellezza (кон знэллёцца), Con snellita (кон знэллита)","легко, ловко, проворно"
Con sobrieta (кон собриета),умеренно
Con solennita (кон соленнита),торжественно
Con somma passione (кон сомма пассионэ),с величайшей страстью
Con sonorita (кон сонорита),"звучно, звонко"
"Con sordita (кон сордита), sordo (сордо)",глухо
Con sordini (кон сордини),с сурдинами
Con sordino (ит. кон сордино),[играть] с сурдиной
Con speditezza (кон спэдитэцца),"быстро, проворно"
Con spirito (кон спирито),"с увлечением, жаром, воодушевленно"
Con splendidezza (кон сплендидэцца),"блестяще, великолепно"
Con strepito (кон стрэпито),"шумно, громко"
Con sublimita (ит. кон сублимита),"возвышенно, величественно"
Con suono pieno (ит. кон судно пьёно),полным звуком
Con tardanza (кон тарданца),медлительно
Con tenacita (кон тэначита),"упорно, настойчиво, твердо"
Con tenerezza (кон тэнэрэцца),"нежно, мягко, ласково"
Con timidezza (кон тимидэцца),робко
Con tinto (ит. кон тинто),оттеняя
Con tranquillita (кон транкуиллита),"спокойно, безмятежно"
Con trascuratezza (кон траскуратэцца),небрежно
Con tristezza (кон тристэцца),"печально, грустно"
Con tutta forza (ит. кон тутта форца),"со всей силой, как можно громче, с полной силой"
Con tutta la lunghezza dell' arco (ит. кон тутта ля люнгёцца дель арко),[играть] всем смычком
Con tutta passione (кон тутта пассиóнэ),с величайшей страстью
"Con uguaglianza (кон угуальянца), ugualmente (угуальмэнтэ)","ровно, однообразно"
Con Umorе (кон уморэ),"с настроением, прихотливо"
Con una certa espressione parlante (ит. кон уна чэрта эспрэсьонэ парлантэ),приближаясь к речевой выразительности [Бетховен. Багатель]
Con una ebbrezza fantastica (ит. кон уна эбрэцда фантастика),в причудливом опьянении [Скрябин. Соната № 5]
Con un dito (ит. кон ун дито),[играть] одним пальцем
Con variazioni (ит. кон вариациони),с вариациями
Con veemenza (кон вээмэнца),"стремительно, необузданно, пылко, порывисто"
Con velocita (кон вэлочита),"быстро, бегло"
Con vigore (кон вигорэ),"бодро, энергично"
Con violenza (кон виолёнца),"буйно, неистово"
Con vivezza (кон вивэцца),живо
Con voglia (кон волья),"страстно, пылко"
Con volubilita (ит. кон волюбилита),"гибко, извилисто"
Con zelo (кон дзэло),"с усердием, рвением"
Concento (ит. кончэнто),"созвучие, гармония, согласие"
"Concentrando (ит. кончэнтрандо), Concentrato (кончэнтрато), Con Concentrazione (кон кончэнтрациóнэ), Concentre (фр. консантрэ)",сосредоточенно
Concentus (лат. концэнтус),"часть католич. службы, исполняемая хором (гимны, псалмы и т. д.)"
"Concert (фр. консэр, англ. кóнсэт)",концерт (публичное исполнение муз. произведений)
Concertant (фр. консэртан),концертирующий; symphonie Concertante (сэнфони консэртант) - симфония с одним или несколькими концертирующими инструментами
Concertante (ит. кончэртантэ),концертирующий
Concertato (кончэртато),"концертный, в концертном стиле; pezzo concertato (пэццо кончэртато) - пьеса в концертном стиле"
"Concertina (ит. кончертина, англ. консэтина)",вид гармоники [6-угольной формы]
Concertino (ит. кончэртино),концертино: 1) в Concerti grossi - группа солирующих инструментов (в противоположность ripieno - всему составу орк.); 2) небольшое произведение в характере концерта
Concert master (англ.,амер. кóнсэт мастэ) - концертмейстер орк. (1- й скрипач)
"Concerto (ит. кончэрто, фр. консэртó, англ. кэнчэтоу)",концерт; 1) жанр муз. произведений для инструмента или голоса соло с орк.; 2) произведение для орк.; 3) Concerto (ит.) - публичное исполнение муз. произведений
Concerto da camera (ит. кончэрто да камера),камерно-инструментальный концерт (муз. жанр)
Concerto da chiesa (ит. кончэрто да кьёза),жанр церковной музыки
Concerto gala (ит. кончэрто гала),необычный концерт
Concerto grosso (ит. кончэрто гроссо),«большой концерт» - форма ансамблево-оркестровой музыки 17- 18 вв.
Concert spirituel (фр. консэр спиритюэль),духовный концерт
"Concitato (ит. кончитато), Con concitamento (кон кончитамэнто)","возбужденно, взволнованно, беспокойно"
"Conclusion (фр. конклюзьон, англ. кэнклюжн), Conclusione (ит. конклюзиóнэ)",заключение (финал)
Concord (англ. кэнкоод),гармония
Concordant (фр. конкордан),"старин, назв. баритона (голоса)"
Conduct (англ. кэндакт),дирижировать
Conducteur (фр. кондюктэр),"1) дирижер; 2) сокращ. партитура; violon conducteur (виолон кондюктэр), piano conducteur (пиано кондюктэр) - партия 1- й скрипки или фортепиано, приспособленная для дирижирования"
Conductor (англ. кэндактэ),дирижер
Conductor's baton (кэндактэз бэтэн),дирижерская палочка
"Conductus (лат. кондуктус), Conduit (фр. кондюй)","одна из старин, форм многоголосных композиций"
Conduire (фр. кондюир),дирижировать
Conduite des voix (фр. кондюйт дэ вуа),голосоведение
Confusamente (ит. конфузамэнте),в смятении
Confusione (конфузионэ),смятение
Confutatis maledictis  (лат. конфутатис маледиктис) .,"«Отвергнув тех, кто проклят» - начальные слова одной из строф реквиема"
"Conga (кóнга), Conga drum (англ. кóнга драм)",
Congatrommel (нем. конгатроммэль),конга (ударный инструмент латино-амер. происхождения)
Conjoint (фр. конжуан),"соединенный, слитный"
"Conseguente (ит. консэгуэнтэ), Consequent (фр. консэкан)",1) ответ в фуге; 2) имитирующий голос в каноне
